KÚ,správní obvod,počet obyvatel,výměra ha,výměra km2,hustotota zalidnění na km
Běchovice,Praha 21,2 565,"683,49","6,83","375,28"
Benice,Praha 22,745,"277,38","2,77","268,59"
Bohnice,Praha 8,16 441,"465,86","4,66","3 529,16"
Braník,Praha 4,18 253,"439,92","4,40","4 149,19"
Břevnov,Praha 6,26 456,"524,08","5,24","5 048,08"
Březiněves,Praha 8,1 969,"338,27","3,38","582,08"
Bubeneč,Praha 6,23 714,"444,07","4,44","5 340,17"
Čakovice,Praha 18,8 900,"382,96","3,83","2 324,00"
Černý Most,Praha 14,24 839,"210,05","2,10","11 825,39"
Čimice,Praha 8,6 833,"257,68","2,58","2 651,79"
Ďáblice,Praha 8,3 952,"737,93","7,38","535,55"
Dejvice,Praha 6,23 962,"739,20","7,39","3 241,60"
Dolní Chabry,Praha 8,5 219,"498,87","4,99","1 046,17"
Dolní Měcholupy,Praha 15,4 009,"466,03","4,66","860,25"
Dolní Počernice,Praha 14,2 984,"575,87","5,76","518,17"
Dubeč,Praha 15,4 171,"860,00","8,60","485,00"
Háje,Praha 11,23 215,"236,41","2,36","9 819,96"
Hájek u Uhříněvsi,Praha 22,689,"294,52","2,95","233,94"
Hloubětín,Praha 14,14 641,"544,65","5,45","2 688,15"
Hlubočepy,Praha 5,24 755,"608,23","6,08","4 070,00"
Hodkovičky,Praha 4,3 890,"208,41","2,08","1 866,54"
Holešovice,Praha 7,39 661,"468,93","4,69","8 457,84"
Holyně,Praha 5,462,"192,95","1,93","239,44"
Horní Měcholupy,Praha 15,16 151,"225,10","2,25","7 175,11"
Horní Počernice,Praha 20,17 378,"1 694,23","16,94","1 025,72"
Hostavice,Praha 14,3 568,"197,59","1,98","1 805,75"
Hostivař,Praha 15,19 179,"800,51","8,01","2 395,84"
Hradčany,Praha 1,1 851,"151,47","1,51","1 222,02"
Hrdlořezy,Praha 9,2 601,"195,62","1,96","1 329,62"
Chodov,Praha 11,52 453,"742,97","7,43","7 059,96"
Cholupice,Praha 12,1 014,"638,68","6,39","158,77"
Jinonice,Praha 5,6 953,"616,78","6,17","1 127,30"
Josefov,Praha 1,1 225,"8,81","0,09","13 898,97"
Kamýk,Praha 12,19 527,"253,99","2,54","7 688,09"
Karlín,Praha 8,12 740,"215,78","2,16","5 904,04"
Kbely,Praha 19,7 498,"600,14","6,00","1 249,38"
Klánovice,Praha 21,3 860,"589,69","5,90","654,58"
Kobylisy,Praha 8,28 062,"323,41","3,23","8 676,98"
Koloděje,Praha 21,1 676,"375,66","3,76","446,15"
Kolovraty,Praha 22,3 676,"592,16","5,92","620,77"
Komořany,Praha 12,1 979,"208,15","2,08","950,75"
Košíře,Praha 5,16 724,"322,68","3,23","5 182,87"
Královice,Praha 22,451,"495,92","4,96","90,94"
Krč,Praha 4,29 469,"521,14","5,21","5 654,74"
Křeslice,Praha 11,1 116,"343,50","3,44","324,89"
Kunratice,Praha 4,10 372,"809,85","8,10","1 280,73"
Kyje,Praha 14,10 174,"569,24","5,69","1 787,29"
Lahovice,Praha 5,389,"202,82","2,03","191,79"
Letňany,Praha 8,22 897,"560,63","5,61","4 084,14"
Lhotka,Praha 4,5 627,"104,57","1,05","5 381,21"
Libeň,Praha 8,38 196,"737,92","7,38","5 176,20"
Liboc,Praha 6,5 244,"425,04","4,25","1 233,76"
Libuš,Praha 12,5 951,"157,67","1,58","3 774,40"
Lipany,Praha 10,291,"58,23","0,58","499,75"
Lipence,Praha 16,3 049,"824,74","8,25","369,69"
Lochkov,Praha 16,848,"271,62","2,72","312,20"
Lysolaje,Praha 6,1 474,"247,48","2,47","595,60"
Malá Chuchle,Praha 16,350,"141,02","1,41","248,19"
Malá Strana,Praha 1,5 295,"137,28","1,37","3 857,14"
Malešice,Praha 10,10 914,"381,20","3,81","2 863,04"
Michle,Praha 4,21 893,"550,07","5,50","3 980,01"
Miškovice,Praha 18,1 875,"266,71","2,67","703,02"
Modřany,Praha 12,36 190,"769,18","7,69","4 705,02"
Motol,Praha 5,3 991,"319,49","3,19","1 249,18"
Nebušice,Praha 6,2 798,"368,19","3,68","759,94"
Nedvězí u Říčan,Praha 22,364,"380,85","3,81","95,58"
Nové Město,Praha 1,26 442,"334,14","3,34","7 913,44"
Nusle,Praha 4,34 542,"285,53","2,86","12 097,64"
Petrovice,Praha 15,6 066,"178,64","1,79","3 395,58"
Písnice,Praha 12,4 562,"365,88","3,66","1 246,85"
Pitkovice,Praha 22,2 119,"239,68","2,40","884,09"
Podolí,Praha 4,13 616,"238,43","2,38","5 710,65"
Prosek,Praha 9,17 561,"167,58","1,68","10 479,29"
Přední Kopanina,Praha 6,644,"327,60","3,28","196,58"
Radlice,Praha 5,2 022,"242,16","2,42","835,00"
Radotín,Praha 16,8 644,"929,89","9,30","929,57"
Ruzyně,Praha 6,7 987,"1 503,60","15,04","531,19"
Řeporyje,Praha 13,4 617,"566,55","5,67","814,94"
Řepy,Praha 17,23 924,"325,30","3,25","7 354,34"
Satalice,Praha 19,2 603,"379,75","3,80","685,45"
Sedlec,Praha 6,916,"145,55","1,46","629,34"
Slivenec,Praha 5,3 392,"566,12","5,66","599,16"
Smíchov,Praha 5,37 568,"705,12","7,05","5 327,91"
Sobín,Praha 17,733,"302,00","3,02","242,72"
Staré Město,Praha 1,8 147,"129,03","1,29","6 313,99"
Stodůlky,Praha 13,63 826,"962,52","9,63","6 631,16"
Strašnice,Praha 10,38 493,"618,52","6,19","6 223,40"
Střešovice,Praha 6,7 044,"154,55","1,55","4 557,79"
Střížkov,Praha 9,16 168,"203,01","2,03","7 964,17"
Suchdol,Praha 6,6 181,"431,28","4,31","1 433,16"
Šeberov,Praha 11,3 219,"500,11","5,00","643,66"
Štěrboholy,Praha 15,2 433,"296,92","2,97","819,40"
Točná,Praha 12,846,"462,62","4,63","182,87"
Troja,Praha 7,14 353,"542,56","5,43","2 645,44"
Třebonice,Praha 13,1 273,"457,58","4,58","278,20"
Třeboradice,Praha 18,1 380,"368,80","3,69","374,19"
Uhříněves,Praha 22,11 220,"1 027,87","10,28","1 091,58"
Újezd nad Lesy,Praha 21,10 921,"1 014,94","10,15","1 076,03"
Újezd u Průhonic,Praha 11,3 704,"370,32","3,70","1 000,23"
Veleslavín,Praha 6,6 732,"131,29","1,31","5 127,46"
Velká Chuchle,Praha 16,2 467,"460,73","4,61","535,46"
Vinohrady,Praha 2,51 626,"378,67","3,79","13 633,41"
Vinoř,Praha 19,4 594,"599,82","6,00","765,89"
Vokovice,Praha 6,11 491,"352,49","3,52","3 259,98"
Vršovice,Praha 10,38 412,"293,51","2,94","13 087,15"
Vysočany,Praha 9,18 291,"606,82","6,07","3 014,25"
Vyšehrad,Praha 2,1 804,"36,26","0,36","4 975,77"
Záběhlice,Praha 10,35 355,"568,78","5,69","6 215,98"
Zadní Kopanina,Praha 13,114,"350,42","3,50","32,53"
Zbraslav,Praha 16,9 725,"782,54","7,83","1 242,75"
Zličín,Praha 17,7 039,"317,58","3,18","2 216,47"
Žižkov,Praha 3,62 852,"544,16","5,44","11 550,26"